Ward No.,Household,Total Population,Total Male,Total Female
1,690,4365,2247,2118
2,839,5221,2644,2577
3,764,5056,2569,2487
4,773,5006,2548,2458
5,659,4350,2204,2146
6,545,3193,1627,1566
Total,4270,27191,13839,13352
