Ward No.,Household,Total Population,Total Male,Total Female
1,988,6724,3539,3185
2,219,1404,704,700
3,787,5548,2807,2741
4,546,3776,1937,1839
5,191,1575,801,774
6,215,1757,848,909
7,639,4869,2530,2339
Total,3585,25653,13166,12487
