Ward No.,Household,Total Population,Total Male,Total Female
1,1418,7466,3623,3843
2,672,3115,1455,1660
3,461,2657,1310,1347
4,705,3343,1543,1800
5,905,4996,2466,2530
6,513,3087,1518,1569
7,488,3080,1478,1602
8,727,3816,1860,1956
9,708,3907,1952,1955
10,684,3878,1852,2026
11,830,4690,2248,2442
Total,8111,44035,21305,22730
