Ward No.,Household,Total Population,Total Male,Total Female
1,514,3520,1848,1672
2,499,3249,1700,1549
3,300,2275,1216,1059
4,717,4737,2398,2339
5,572,3960,2049,1911
6,486,3624,1796,1828
7,538,3684,1865,1819
Total,3626,25049,12872,12177
