Ward No.,Household,Total Population,Total Male,Total Female
1,529,3232,1611,1621
2,272,1731,875,856
3,419,2766,1445,1321
4,321,2362,1222,1140
5,532,3403,1710,1693
6,393,2534,1306,1228
7,972,5669,2864,2805
8,735,4790,2442,2348
Total,4173,26487,13475,13012
