Ward No.,Household,Total Population,Total Male,Total Female
1,337,1627,858,769
2,438,2519,1308,1211
3,796,4818,2374,2444
4,386,2386,1224,1162
5,530,3180,1646,1534
6,744,3910,1845,2065
7,738,3613,1659,1954
Total,3969,22053,10914,11139
