Ward No.,Household,Total Population,Total Male,Total Female
1,691,3393,1695,1698
2,727,3445,1631,1814
3,824,4113,1980,2133
4,373,1954,1009,945
5,613,3286,1629,1657
6,501,2312,1105,1207
Total,3729,18503,9049,9454
