Ward No.,Household,Total Population,Total Male,Total Female
1,636,3933,2068,1865
2,553,3133,1643,1490
3,564,3411,1688,1723
4,538,3055,1618,1437
5,1506,7013,3530,3483
6,837,4356,2181,2175
7,648,3755,1923,1832
8,818,4495,2336,2159
9,911,4900,2439,2461
10,764,3742,1715,2027
Total,7775,41793,21141,20652
