Ward No.,Household,Total Population,Total Male,Total Female
1,511,3002,1478,1524
2,525,3408,1679,1729
3,416,2488,1201,1287
4,498,2970,1430,1540
5,683,3893,1972,1921
6,458,2686,1305,1381
7,605,3549,1741,1808
8,664,3849,1822,2027
9,897,4567,2139,2428
Total,5257,30412,14767,15645
