Ward No.,Household,Total Population,Total Male,Total Female
1,1155,6925,3485,3440
2,1156,6902,3467,3435
3,697,4195,2120,2075
4,801,4483,2217,2266
5,701,4101,1990,2111
6,1052,5678,2759,2919
7,737,4198,2068,2130
8,589,3563,1689,1874
9,782,4292,2266,2026
10,862,5355,2795,2560
Total,8532,49692,24856,24836
