Ward No.,Household,Total Population,Total Male,Total Female 
1,415,2258,1088,1170
2,412,2487,1231,1256
3,345,2060,1040,1020
4,405,2579,1317,1262
5,342,2178,1092,1086
6,348,1982,954,1028
7,334,1884,922,962
8,440,2603,1297,1306
9,544,3335,1662,1673
Total,3585,21366,10603,10763
