Ward No.,Household,Total Population,Total Male,Total Female
1,251,1553,793,760
2,268,1619,800,819
3,222,1292,645,647
4,265,1545,749,796
5,210,1200,589,611
6,341,2226,1100,1126
7,117,719,346,373
8,211,1362,683,679
9,220,1330,673,657
Total,2105,12846,6378,6468
