Ward No.,Household,Total Population,Total Male,Total Female
1,893,3798,1639,2159
2,662,2722,1169,1553
3,563,2185,930,1255
4,624,2374,996,1378
5,780,3098,1313,1785
6,603,2412,1025,1387
Total,4125,16589,7072,9517
