Ward No.,Household,Total Population,Total Male,Total Female
1,660,2443,1017,1426
2,1125,4295,1842,2453
3,450,1659,700,959
4,738,2842,1239,1603
5,281,1102,461,641
Total,3254,12341,5259,7082
