Ward No.,Household,Total Population,Total Male,Total Female
1,654,4704,2425,2279
2,600,4339,2110,2229
3,458,3248,1639,1609
4,557,4342,2172,2170
5,753,5533,2790,2743
6,735,5088,2594,2494
7,852,6017,3110,2907
8,804,5681,2854,2827
Total,5413,38952,19694,19258
