Ward No.,Household,Total Population,Total Male,Total Female
1,273,1158,515,643
2,384,1620,722,898
3,476,1838,821,1017
4,377,1477,684,793
5,493,1876,884,992
6,504,1895,886,1009
7,430,1768,848,920
8,471,2000,918,1082
9,446,1883,863,1020
Total,3854,15515,7141,8374
