Ward No.,Household,Total Population,Total Male,Total Female
1,596,2450,1137,1313
2,519,2091,955,1136
3,633,2528,1155,1373
4,668,2528,1145,1383
5,434,1632,666,966
6,514,2071,887,1184
7,603,2267,990,1277
8,991,4131,1851,2280
Total,4958,19698,8786,10912
