Ward No.,Household,Total Population,Total Male,Total Female
1,602,2562,1163,1399
2,547,2241,1017,1224
3,824,3784,1837,1947
4,584,2482,1173,1309
5,800,3326,1535,1791
6,607,2733,1266,1467
7,381,1721,785,936
Total,4345,18849,8776,10073
