Ward No.,Household,Total Population,Total Male,Total Female
1,861,5038,2581,2457
2,976,5278,2629,2649
3,1130,6218,3106,3112
4,956,4120,2014,2106
5,1067,5389,2744,2645
6,1237,5550,2812,2738
7,1327,6297,3176,3121
8,989,5736,2892,2844
Total,8543,43626,21954,21672
