Ward No.,Household,Total Population,Total Male,Total Female
1,542,2440,1108,1332
2,466,2253,1046,1207
3,512,2442,1117,1325
4,271,1296,598,698
5,272,1265,562,703
6,371,1837,834,1003
7,320,1516,708,808
8,472,2426,1101,1325
9,609,3114,1369,1745
Total,3835,18589,8443,10146
