Ward No.,Household,Total Population,Total Male,Total Female
1,543,2644,1133,1511
2,645,3226,1368,1858
3,706,3344,1410,1934
4,858,3942,1665,2277
5,596,2890,1172,1718
6,490,2532,1163,1369
7,421,2325,1082,1243
Total,4259,20903,8993,11910
