Ward No.,Household,Total Population,Total Male,Total Female
1,630,2836,1193,1643
2,687,3373,1493,1880
3,725,3377,1431,1946
4,558,2467,1085,1382
5,860,3788,1584,2204
6,504,2390,1040,1350
7,872,4252,1878,2374
Total,4836,22483,9704,12779
