Ward No.,Household,Total Population,Total Male,Total Female
1,514,3172,1572,1600
2,292,1839,871,968
3,374,2086,972,1114
4,516,2961,1424,1537
5,324,1890,899,991
6,584,3058,1401,1657
7,526,2896,1341,1555
Total,3130,17902,8480,9422
