Ward No.,Household,Total Population,Total Male,Total Female
1,142,815,409,406
2,242,1492,785,707
3,331,1861,915,946
4,313,1815,931,884
5,292,1785,908,877
6,196,1166,572,594
7,237,1432,734,698
8,242,1607,813,794
9,301,2023,1016,1007
10,224,1308,655,653
11,301,1812,891,921
Total,2821,17116,8629,8487
