Ward No.,Household,Total Population,Total Male,Total Female
1,208,964,443,521
2,321,1484,673,811
3,563,2345,1023,1322
4,549,2503,1174,1329
5,294,1267,582,685
6,416,1787,799,988
7,878,3754,1640,2114
Total,3229,14104,6334,7770
