District,Paddy Area,Paddy Prod.,Paddy Yield,Maize Area,Maize Prod.,Maize Yield,MilletArea,Millet Prod.,Millet Yield,Buckwheat Area,Buckwheat Prod.,Buckwheat Yield,WheatArea,Wheat Prod.,Wheat Yield,BarleyArea,BarleyProd.,Barley Yield
DAILEKH,8307,26529,3194,20150,35292,1751,2423,2450,1011,27,30,1111,19594,35449,1809,202,236,1166
SURKHET,13252,42803,3230,15251,33464,2194,2095,2835,1353,-,-,-,14710,37627,2558,1042,1415,1358
MW.HILLS,46375,145827,3145,104145,205925,1977,11390,13559,1190,244,263,1078,88722,177172,1997,5069,6295,1242
DANG,36508,123870,3393,23150,53043,2291,15,15,1000,20,21,1050,12655,25310,2000,25,28,1119
BANKE,31900,92725,2907,8500,18863,2219,-,-,-,-,-,-,18359,49533,2698,10,9,933
BARDIYA,48500,173500,3577,1500,4837,3225,-,-,-,-,-,-,18716,65033,3475,10,9,933
MW.TERAI,116908,390095,3337,33150,76743,2315,15,15,1000,20,21,1050,49730,139875,2813,46,47,1036
MW.REGION,170933,549662,3216,145689,294698,2023,22411,24800,1107,2278,2655,1165,153063,336042,2195,12801,17333,1354
BAJURA,3310,8606,2600,790,1950,2468,2610,2688,1030,7,11,1571,4950,4607,931,1072,910,849
BAJHANG,7006,21791,3110,3680,5690,1546,2268,2250,992,7,7,1000,10982,13398,1220,3726,3182,854
DARCHULA,4480,10061,2246,3858,6816,1767,1310,1300,992,100,85,850,4465,8595,1925,1200,905,754
FW.MOUNTAIN,14796,40458,2734,8328,14456,1736,6188,6238,1008,114,103,904,20397,26600,1304,5998,4997,833
ACHHAM,16571,31539,1903,3650,10693,2930,3413,3550,1040,-,-,-,14300,21010,1469,505,564,1117
DOTI,10668,22114,2073,3502,7354,2100,4326,4912,1135,5,5,1000,12335,24670,2000,210,189,900
BAITADI,7000,16470,2353,14500,18945,1307,710,750,1056,-,-,-,20900,16302,780,1000,620,620
DADELDHURA,5225,17419,3334,3745,10112,2700,295,300,1017,-,-,-,8465,16732,1977,192,236,1227
FW.HILLS,39464,87542,2218,25397,47104,1855,8744,9512,1088,5,5,1000,56000,78714,1406,1907,1609,844
KAILALI,71250,233250,3274,5550,15618,2814,350,350,1000,7,11,1571,34000,78540,2310,400,300,750
KANCHANPUR,45796,145207,3171,2750,7125,2591,-,-,-,-,-,-,31343,75439,2407,10,9,933
FW.TERAI,117046,378457,3233,8300,22743,2740,350,350,1000,7,11,1571,65343,153979,2356,410,309,755
FW.REGION,171306,506457,2956,42025,84303,2006,15282,16100,1054,126,119,944,141740,259293,1829,8315,6915,832
NEPAL,1362908,4299079,3154,891583,2231517,2503,266799,302397,1133,10842,11641,1074,745823,1736849,2329,28361,32801,1157
