Ward No.,Household,Total Population,Total Male,Total Female
1,1255,5550,2386,3164
2,1346,5989,2687,3302
3,1221,6095,2853,3242
4,1006,4882,2343,2539
5,871,4456,2172,2284
6,1132,5467,2544,2923
7,1023,5206,2505,2701
8,1288,5666,2549,3117
9,1191,4557,2257,2300
Total,10333,47868,22296,25572
