Ward No.,Household,Total Population,Total Male,Total Female
1,949,3305,1555,1750
2,1431,5531,2869,2662
3,302,1243,643,600
4,783,3297,1704,1593
5,718,3255,1660,1595
Total,4183,16631,8431,8200
