Ward No.,Household,Total Population,Total Male,Total Female
1,272,1117,577,540
2,627,2497,1163,1334
3,759,2926,1336,1590
4,538,2286,1115,1171
5,776,2762,1255,1507
6,422,1609,769,840
Total,3394,13197,6215,6982
