Ward No.,Household,Total Population,Total Male,Total Female
1,754,3151,1324,1827
2,491,2001,822,1179
3,790,3213,1322,1891
4,863,3242,1304,1938
5,676,2634,1040,1594
6,909,3680,1497,2183
7,962,3858,1620,2238
8,896,3556,1442,2114
Total,6341,25335,10371,14964
