Ward No.,Household,Total Population,Total Male,Total Female
1,549,2816,1333,1483
2,623,3220,1561,1659
3,607,2927,1274,1653
4,620,3256,1445,1811
5,707,3536,1638,1898
6,639,2711,1205,1506
7,663,2986,1306,1680
Total,4408,21452,9762,11690
