Ward No.,Household,Total Population,Total Male,Total Female
1,458,2504,1195,1309
2,531,2926,1424,1502
3,558,2933,1460,1473
4,727,4143,2046,2097
5,642,4114,2025,2089
6,544,3346,1596,1750
Total,3460,19966,9746,10220
