Ward No.,Household,Total Population,Total Male,Total Female
1,1247,5389,2292,3097
2,788,3733,1493,2240
3,1193,5084,2131,2953
4,550,2436,1052,1384
5,848,3548,1484,2064
Total,4626,20190,8452,11738
