Ward No.,Household,Total Population,Total Male,Total Female
1,787,3699,1720,1979
2,739,3618,1655,1963
3,629,2950,1428,1522
4,334,2094,984,1110
5,537,2913,1344,1569
6,862,3811,1683,2128
Total,3888,19085,8814,10271
