Ward No.,Household,Total Population,Total Male,Total Female
1,1000,4266,1815,2451
2,586,2208,941,1267
3,534,2153,951,1202
4,486,2094,884,1210
5,519,2097,878,1219
6,901,3573,1465,2108
7,467,1881,781,1100
8,260,1014,443,571
9,517,2075,852,1223
Total,5270,21361,9010,12351
