Ward No.,Household,Total Population,Total Male,Total Female
1,588,3397,1661,1736
2,447,2720,1357,1363
3,608,3812,1838,1974
4,471,2410,1127,1283
5,424,2319,1037,1282
6,696,4375,2182,2193
7,396,2609,1292,1317
8,655,4083,2028,2055
9,473,2713,1287,1426
10,341,2165,1100,1065
11,381,2621,1307,1314
Total,5480,33224,16216,17008
