Ward No.,Household,Total Population,Total Male,Total Female
1,339,1911,917,994
2,134,880,408,472
3,415,2459,1124,1335
4,197,1181,536,645
5,328,1773,796,977
6,271,1501,683,818
7,541,2885,1351,1534
8,275,1551,757,794
9,311,1408,714,694
10,619,3200,1678,1522
11,585,3442,1691,1751
Total,4015,22191,10655,11536
