Ward No.,Household,Total Population,Total Male,Total Female
1,558,2569,1178,1391
2,776,3774,1748,2026
3,542,2510,1132,1378
4,486,2368,1115,1253
5,820,4011,1937,2074
6,774,3633,1657,1976
7,836,4048,1879,2169
Total,4792,22913,10646,12267
