Ward No.,Household,Total Population,Total Male,Total Female
1,521,2552,1188,1364
2,649,3274,1501,1773
3,474,2146,1012,1134
4,563,2536,1190,1346
5,608,2911,1374,1537
Total,2815,13419,6265,7154
