Ward No.,Household,Total Population,Total Male,Total Female
1,141,1029,524,505
2,191,1257,643,614
3,205,1313,624,689
4,135,822,402,420
5,238,1512,750,762
6,211,1183,600,583
Total,1121,7116,3543,3573
