Ward No.,Household,Total Population,Total Male,Total Female
1,138,777,413,364
2,305,1567,790,777
3,169,738,396,342
4,134,664,336,328
5,618,1970,1059,911
6,497,1707,894,813
7,368,2098,1054,1044
8,337,2036,1026,1010
Total,2566,11557,5968,5589
