Ward No.,Household,Total Population,Total Male,Total Female
1,334,1697,813,884
2,396,1947,942,1005
3,403,1855,887,968
4,296,1404,692,712
5,222,1071,531,540
6,291,1479,718,761
Total,1942,9453,4583,4870
