Ward No.,Household,Total Population,Total Male,Total Female
1,380,1884,895,989
2,462,2277,1109,1168
3,269,1167,537,630
4,460,2171,1021,1150
5,430,2210,1034,1176
Total,2001,9709,4596,5113
