Ward No.,Household,Total population,Total Male,Total Female
1,444,2294,1096,1198
2,554,2942,1459,1483
3,646,3295,1575,1720
4,519,2693,1348,1345
5,607,3278,1645,1633
6,759,3991,1951,2040
7,353,1561,723,838
8,787,3950,1886,2064
9,591,3161,1537,1624
10,668,3203,1452,1751
11,879,4336,2054,2282
12,545,2635,1177,1458
13,812,4201,1978,2223
Total,8164,41540,19881,21659
