Ward No.,Household,Total Population,Total Male,Total Female
1,546,3200,1512,1688
2,437,2512,1190,1322
3,421,2660,1234,1426
4,431,2470,1152,1318
5,588,3456,1627,1829
6,314,1780,905,875
7,437,2497,1177,1320
Total,3174,18575,8797,9778
