Ward No.,Household,Total Population,Total Male,Total Female
1,224,1315,657,658
2,310,1645,801,844
3,272,1478,721,757
4,283,1512,729,783
5,207,1176,562,614
6,264,1389,696,693
Total,1560,8515,4166,4349
