Ward No.,Household,Total Population,Total Male,Total Female
1,394,2232,1117,1115
2,849,4592,2299,2293
3,884,3895,2002,1893
4,474,2452,1205,1247
5,765,3370,1647,1723
6,418,2299,1131,1168
7,518,2479,1217,1262
8,425,2412,1200,1212
9,631,3223,1599,1624
10,811,4521,2243,2278
Total,6169,31475,15660,15815
