Ward No.,Household,Total Population,Total Male,Total Female
1,901,3683,1679,2004
2,975,4384,1995,2389
3,552,2817,1352,1465
4,588,2833,1303,1530
5,639,3076,1395,1681
6,629,2944,1372,1572
7,854,3992,1869,2123
Total,5138,23729,10965,12764
