Ward No.,Household,Total Population,Total Male,Total Female
1,594,3950,2013,1937
2,554,3552,1914,1638
3,619,4056,2116,1940
4,708,5028,2693,2335
5,871,5165,2653,2512
6,703,4854,2540,2314
7,346,2572,1340,1232
8,374,2346,1242,1104
9,866,3414,1779,1635
Total,5635,34937,18290,16647
