Ward No.,Household,Total Population,Total Male,Total Female
1,1341,6958,3411,3547
2,1644,8442,4116,4326
3,1340,7043,3495,3548
4,1470,7343,3611,3732
5,1091,5845,3016,2829
6,1114,5932,2908,3024
7,1064,6482,3356,3126
8,1622,8566,4294,4272
9,1217,6551,3200,3351
10,1542,8897,4451,4446
Total,13445,72059,35858,36201
