Ward No.,Household,Total Population,Total Male,Total Female
1,548,3785,1987,1798
2,579,3703,1914,1789
3,339,2312,1173,1139
4,725,5078,2593,2485
5,570,4074,2130,1944
6,607,4123,2112,2011
7,484,3510,1844,1666
8,466,3430,1793,1637
9,489,3250,1705,1545
Total,4807,33265,17251,16014
