Ward No.,Household,Total Population,Total Male,Total Female
1,573,3742,1950,1792
2,493,3659,1875,1784
3,443,3042,1539,1503
4,434,2905,1493,1412
5,622,4461,2246,2215
6,467,2948,1514,1434
7,317,2026,1003,1023
8,547,3244,1651,1593
9,441,2684,1343,1341
10,391,2179,1084,1095
11,905,5418,2757,2661
Total,5633,36308,18455,17853
