Ward No.,Household,Total Population,Total Male,Total Female
1,859,3902,1630,2272
2,947,3871,1576,2295
3,643,2563,1052,1511
4,1088,4577,1860,2717
5,476,1943,818,1125
6,518,2175,936,1239
7,735,3006,1252,1754
Total,5266,22037,9124,12913
