Ward No.,Household,Total Population,Total Male,Total Female
1,769,2978,1213,1765
2,479,2258,980,1278
3,752,3845,1771,2074
4,708,3039,1299,1740
5,626,2877,1234,1643
6,1098,4342,1854,2488
7,674,2847,1174,1673
8,420,1621,637,984
Total,5526,23807,10162,13645
