Ward No.,Household,Total Population,Total Male,Total Female
1,972,7946,4148,3798
2,706,4894,2528,2366
3,862,6940,3632,3308
4,678,4682,2410,2272
5,616,4534,2365,2169
6,889,6010,3084,2926
7,540,3770,1872,1898
Total,5263,38776,20039,18737
