Ward No.,Household,Total Population,Total Male,Total Female
1,1029,4840,2250,2590
2,959,5199,2618,2581
3,805,4929,2440,2489
4,1205,8163,4072,4091
5,916,5708,2855,2853
6,873,5352,2614,2738
Total,5787,34191,16849,17342
