Ward No.,Household,Total Population,Total Male,Total Female
1,1334,6093,2821,3272
2,1183,6330,2983,3347
3,1648,7205,3133,4072
4,1593,7492,3229,4263
5,1326,5952,2699,3253
Total,7084,33072,14865,18207
