Ward No.,Household,Total Population,Total Male,Total Female
1,850,5524,2802,2722
2,961,5001,2310,2691
3,980,4614,2114,2500
4,1012,5049,2366,2683
5,892,5004,2341,2663
6,714,4318,2089,2229
7,736,5128,2630,2498
Total,6145,34638,16652,17986
