Ward No.,Household,Total Population,Total Male,Total Female
1,634,3370,1673,1697
2,1491,6487,3353,3134
3,3039,10842,5476,5366
4,2368,9603,4995,4608
5,669,3202,1725,1477
6,1598,6787,3470,3317
7,2631,10597,5019,5578
8,3175,11942,5856,6086
9,2445,9170,4723,4447
10,1114,4361,2092,2269
11,7258,28193,13834,14359
12,1566,6542,3101,3441
13,1674,7366,3491,3875
14,778,3566,1640,1926
15,815,3582,1650,1932
16,583,2934,1367,1567
17,948,4018,1913,2105
18,531,2582,1232,1350
19,780,3598,1678,1920
Total,34097,138742,68288,70454
