Ward No.,Household,Total Population,Total Male,Total Female
1,1443,6069,2986,3083
2,1519,7011,3501,3510
3,1943,7888,4126,3762
4,1087,4935,2497,2438
5,1119,5315,2644,2671
6,1223,5097,2452,2645
7,1287,5271,2511,2760
Total,9621,41586,20717,20869
