Purpose of Visit:,2016,2017,%Change 
Holiday/Pleasure,489452,658153,34.5
Pilgrimage,82830,141033,70.3
Trekking & Mountaineering,66490,75217,13.1
Official,21310,N/A,N/A
Business,24322,N/A,N/A
Conference/Conv.,12801,N/A,N/A
Others,55797,65815,18
