Ward No.,Household,Total Population,Total Male,Total Female
1,647,3409,1664,1745
2,771,3764,1813,1951
3,912,4205,2008,2197
4,1143,5567,2765,2802
5,774,3452,1582,1870
Total,4247,20397,9832,10565
