Ward No.,Household,Total Population,Total Male,Total Female
1,327,2200,1146,1054
2,509,3532,1814,1718
3,648,4401,2280,2121
4,404,2731,1355,1376
5,284,2064,1057,1007
6,527,3356,1720,1636
7,443,2897,1465,1432
8,564,3570,1798,1772
9,870,6046,3138,2908
10,299,2088,1086,1002
Total,4875,32885,16859,16026
