Ward No.,Household,Total Population,Total Male,Total Female
1,726,4804,2471,2333
2,632,4156,2231,1925
3,477,3232,1695,1537
4,523,4038,2129,1909
5,680,4487,2273,2214
Total,3038,20717,10799,9918
